Date,Open,High,Low,Close,Adj Close,Volume
2022-10-21,18558.099609,18880.800781,18513.500000,18861.000000,18861.000000,209607800
2022-10-24,18915.000000,18955.900391,18786.099609,18918.400391,18918.400391,236806800
2022-10-25,18859.000000,19099.500000,18859.000000,19097.000000,19097.000000,227760800
2022-10-26,19097.500000,19435.900391,19097.500000,19279.800781,19279.800781,254302600
2022-10-27,19391.099609,19516.400391,19316.599609,19352.099609,19352.099609,223826400
2022-10-28,19365.099609,19471.300781,19282.699219,19471.199219,19471.199219,198107200
2022-10-31,19406.500000,19510.900391,19402.099609,19426.099609,19426.099609,262561400
2022-11-01,19674.900391,19698.300781,19496.300781,19517.699219,19517.699219,178366400
2022-11-02,19490.800781,19669.400391,19277.000000,19277.000000,19277.000000,290685300
2022-11-03,19133.900391,19322.400391,19090.599609,19241.199219,19241.199219,257780000
2022-11-04,19475.599609,19580.099609,19300.000000,19449.800781,19449.800781,298290900
2022-11-07,19525.199219,19565.599609,19431.099609,19545.900391,19545.900391,247551300
2022-11-08,19578.300781,19743.300781,19533.900391,19660.300781,19660.300781,231561300
2022-11-09,19570.500000,19585.099609,19338.000000,19344.300781,19344.300781,244299000
2022-11-10,19724.500000,20035.300781,19724.500000,19990.400391,19990.400391,301123200
2022-11-11,20097.500000,20169.800781,20023.500000,20111.500000,20111.500000,266577300
2022-11-14,20057.500000,20102.300781,19921.800781,19921.800781,19921.800781,367889200
2022-11-15,20110.099609,20117.400391,19938.599609,19994.800781,19994.800781,242851000
2022-11-16,19929.000000,20011.599609,19897.300781,19958.000000,19958.000000,266857900
2022-11-17,19790.500000,19884.599609,19742.300781,19884.599609,19884.599609,257158600
2022-11-18,19934.400391,19995.199219,19891.400391,19980.900391,19980.900391,243056700
2022-11-21,19901.800781,19986.000000,19787.099609,19977.099609,19977.099609,319942200
2022-11-22,20060.500000,20236.500000,20048.599609,20220.000000,20220.000000,221847400
2022-11-23,20185.099609,20303.599609,20185.099609,20282.300781,20282.300781,238316600
2022-11-24,20309.199219,20386.699219,20309.199219,20344.099609,20344.099609,88111700
2022-11-25,20348.900391,20446.300781,20342.199219,20383.800781,20383.800781,157063000
2022-11-28,20310.000000,20397.900391,20178.800781,20220.500000,20220.500000,276019100
2022-11-29,20319.800781,20322.699219,20229.300781,20277.400391,20277.400391,240667600
2022-11-30,20341.699219,20456.599609,20137.099609,20453.300781,20453.300781,510923700
2022-12-01,20541.199219,20639.500000,20486.300781,20525.500000,20525.500000,234415200
2022-12-02,20364.400391,20554.500000,20364.400391,20485.699219,20485.699219,264750500
2022-12-05,20453.699219,20476.400391,20204.000000,20242.300781,20242.300781,293487300
2022-12-06,20262.000000,20306.599609,19960.000000,19990.199219,19990.199219,273032300
2022-12-07,19971.300781,20093.000000,19957.599609,19973.199219,19973.199219,241429400
2022-12-08,20044.900391,20086.400391,19947.199219,19969.199219,19969.199219,240247300
2022-12-09,19990.099609,20086.300781,19944.800781,19947.099609,19947.099609,215724900
2022-12-12,19841.099609,20019.900391,19834.300781,20019.699219,20019.699219,305801700
2022-12-13,20312.900391,20341.300781,19955.599609,20023.500000,20023.500000,278272300
2022-12-14,20022.599609,20081.800781,19864.000000,19891.699219,19891.699219,263781200
2022-12-15,19722.900391,19726.599609,19512.900391,19600.599609,19600.599609,277405200
2022-12-16,19429.199219,19504.199219,19352.800781,19443.300781,19443.300781,543394400
2022-12-19,19455.599609,19485.300781,19159.599609,19200.800781,19200.800781,288092500
2022-12-20,19213.500000,19379.099609,19196.500000,19306.900391,19306.900391,256453900
2022-12-21,19447.300781,19598.699219,19447.300781,19571.099609,19571.099609,215845900
2022-12-22,19480.400391,19480.400391,19173.800781,19349.699219,19349.699219,222587000
2022-12-23,19361.400391,19506.699219,19315.099609,19506.699219,19506.699219,195463800
2022-12-28,19472.300781,19519.000000,19263.599609,19284.099609,19284.099609,241863200
2022-12-29,19316.900391,19515.400391,19308.900391,19485.900391,19485.900391,185217200
2022-12-30,19401.300781,19496.199219,19332.800781,19384.900391,19384.900391,155571700
2023-01-03,19531.400391,19661.599609,19380.300781,19443.800781,19443.800781,261589200
2023-01-04,19460.099609,19639.500000,19414.599609,19588.800781,19588.800781,238146400
2023-01-05,19518.699219,19536.000000,19386.699219,19506.800781,19506.800781,194759400
2023-01-06,19615.599609,19821.400391,19556.599609,19814.500000,19814.500000,222341300
2023-01-09,19900.000000,19987.500000,19840.800781,19857.099609,19857.099609,211962600
2023-01-10,19857.300781,19898.900391,19745.599609,19898.900391,19898.900391,198069200
2023-01-11,19980.400391,20038.300781,19910.300781,20025.099609,20025.099609,231468900
2023-01-12,20101.599609,20214.300781,19993.400391,20211.199219,20211.199219,263797000
2023-01-13,20150.900391,20380.000000,20147.599609,20360.099609,20360.099609,237924900
2023-01-16,20340.699219,20435.099609,20324.400391,20390.300781,20390.300781,118836200
2023-01-17,20410.199219,20479.900391,20389.800781,20457.500000,20457.500000,240442600
2023-01-18,20535.699219,20632.000000,20376.199219,20376.199219,20376.199219,280008600
2023-01-19,20290.500000,20406.500000,20258.300781,20341.400391,20341.400391,221749000
2023-01-20,20364.099609,20517.099609,20287.300781,20503.199219,20503.199219,219872800
2023-01-23,20535.400391,20641.699219,20480.400391,20631.599609,20631.599609,237356600
2023-01-24,20565.000000,20653.199219,20502.400391,20629.599609,20629.599609,210676200
2023-01-25,20501.800781,20634.300781,20402.199219,20599.599609,20599.599609,237469000
2023-01-26,20672.099609,20700.500000,20559.300781,20700.500000,20700.500000,276746400
2023-01-27,20669.699219,20763.000000,20621.900391,20714.500000,20714.500000,250949400
2023-01-30,20609.000000,20713.699219,20570.199219,20572.099609,20572.099609,260418500
2023-01-31,20600.300781,20771.599609,20590.099609,20767.400391,20767.400391,294121300
2023-02-01,20731.900391,20828.400391,20579.500000,20751.099609,20751.099609,293853300
2023-02-02,20813.500000,20843.199219,20696.900391,20740.400391,20740.400391,292419400
2023-02-03,20680.900391,20830.300781,20680.900391,20758.300781,20758.300781,262056000
2023-02-06,20662.300781,20683.599609,20550.099609,20628.900391,20628.900391,212391500
2023-02-07,20612.000000,20775.699219,20541.599609,20725.000000,20725.000000,227523300
2023-02-08,20710.500000,20779.199219,20623.099609,20679.500000,20679.500000,188011200
2023-02-09,20774.099609,20821.699219,20541.300781,20597.800781,20597.800781,234223700
2023-02-10,20540.099609,20624.000000,20484.500000,20612.099609,20612.099609,254306600
2023-02-13,20610.500000,20741.500000,20604.699219,20702.199219,20702.199219,199921700
2023-02-14,20675.800781,20766.800781,20553.199219,20704.800781,20704.800781,213762300
2023-02-15,20642.500000,20725.699219,20576.599609,20720.400391,20720.400391,263772700
2023-02-16,20572.500000,20706.199219,20531.500000,20606.400391,20606.400391,263447700
2023-02-17,20546.500000,20575.300781,20456.800781,20515.199219,20515.199219,235929000
2023-02-21,20463.099609,20463.099609,20242.800781,20252.599609,20252.599609,247827700
2023-02-22,20246.800781,20284.000000,20134.500000,20193.300781,20193.300781,270951400
2023-02-23,20233.800781,20293.699219,20083.400391,20188.199219,20188.199219,253377400
2023-02-24,20115.500000,20220.000000,19997.300781,20219.199219,20219.199219,232664600
2023-02-27,20245.599609,20374.000000,20236.800781,20260.099609,20260.099609,257382400
2023-02-28,20223.699219,20242.599609,20156.500000,20221.199219,20221.199219,410582800
2023-03-01,20200.900391,20318.900391,20200.900391,20259.800781,20259.800781,321373700
2023-03-02,20209.699219,20347.099609,20149.000000,20337.199219,20337.199219,268034900
2023-03-03,20384.900391,20609.000000,20384.900391,20581.599609,20581.599609,269826500
2023-03-06,20578.800781,20615.500000,20498.500000,20514.800781,20514.800781,240762000
2023-03-07,20505.500000,20505.500000,20236.500000,20275.500000,20275.500000,252344800
2023-03-08,20274.599609,20438.199219,20270.400391,20346.500000,20346.500000,258126000
2023-03-09,20358.800781,20441.000000,20063.900391,20086.699219,20086.699219,285414800
2023-03-10,20046.199219,20064.699219,19743.500000,19774.900391,19774.900391,348103000
2023-03-13,19645.500000,19714.199219,19427.500000,19588.900391,19588.900391,356349500
2023-03-14,19732.900391,19850.599609,19562.300781,19694.199219,19694.199219,297283300
2023-03-15,19533.000000,19533.000000,19179.400391,19378.800781,19378.800781,387722500
2023-03-16,19311.300781,19589.400391,19155.800781,19539.000000,19539.000000,337397200
2023-03-17,19493.000000,19493.000000,19298.000000,19387.699219,19387.699219,606497500
2023-03-20,19411.800781,19535.599609,19411.800781,19519.400391,19519.400391,286514000
2023-03-21,19615.500000,19734.699219,19614.699219,19654.900391,19654.900391,242855700
2023-03-22,19681.300781,19813.000000,19532.800781,19532.800781,19532.800781,247697000
2023-03-23,19565.900391,19681.800781,19393.099609,19459.900391,19459.900391,266470700
2023-03-24,19391.599609,19506.599609,19278.599609,19501.500000,19501.500000,235964900
2023-03-27,19562.699219,19638.599609,19511.199219,19624.699219,19624.699219,264218600
2023-03-28,19622.900391,19700.199219,19600.500000,19657.500000,19657.500000,220188500
2023-03-29,19730.300781,19841.300781,19730.300781,19837.699219,19837.699219,226950600
2023-03-30,19920.400391,19949.099609,19866.099609,19941.000000,19941.000000,210219500
2023-03-31,19977.500000,20126.500000,19977.500000,20099.900391,20099.900391,295642300
2023-04-03,20108.400391,20281.199219,20108.400391,20278.300781,20278.300781,334009100
2023-04-04,20326.400391,20361.300781,20203.300781,20275.800781,20275.800781,253929700
2023-04-05,20221.400391,20246.300781,20097.599609,20159.599609,20159.599609,237311100
2023-04-06,20157.199219,20201.599609,20099.800781,20196.699219,20196.699219,212583400
2023-04-10,20160.300781,20281.099609,20151.900391,20275.800781,20275.800781,228205600
2023-04-11,20303.900391,20461.699219,20303.900391,20421.900391,20421.900391,201959500
2023-04-12,20505.800781,20593.500000,20442.699219,20454.300781,20454.300781,188062200
2023-04-13,20480.199219,20591.900391,20469.599609,20564.500000,20564.500000,214314900
2023-04-14,20585.300781,20638.199219,20516.000000,20579.900391,20579.900391,200538000
2023-04-17,20576.699219,20646.900391,20553.400391,20642.000000,20642.000000,243716600
2023-04-18,20665.500000,20729.500000,20659.000000,20684.699219,20684.699219,230440000
2023-04-19,20609.099609,20695.000000,20606.800781,20680.800781,20680.800781,188384700
2023-04-20,20614.500000,20705.300781,20597.099609,20630.699219,20630.699219,198556700
2023-04-21,20640.500000,20696.500000,20602.300781,20693.199219,20693.199219,195036300
2023-04-24,20664.900391,20709.599609,20643.199219,20676.699219,20676.699219,225222700
2023-04-25,20637.000000,20637.000000,20435.500000,20439.900391,20439.900391,194142700
2023-04-26,20451.599609,20501.500000,20324.500000,20366.699219,20366.699219,228511300
2023-04-27,20400.800781,20546.699219,20400.800781,20522.599609,20522.599609,213761600
2023-04-28,20502.300781,20661.000000,20499.500000,20636.500000,20636.500000,234250900
2023-05-01,20663.699219,20766.900391,20613.300781,20615.099609,20615.099609,189384700
2023-05-02,20579.199219,20579.199219,20282.099609,20407.599609,20407.599609,254437000
2023-05-03,20397.300781,20498.900391,20350.000000,20354.699219,20354.699219,238384500
2023-05-04,20423.699219,20444.199219,20237.199219,20238.199219,20238.199219,223576300
2023-05-05,20305.400391,20565.599609,20305.400391,20542.000000,20542.000000,227862200
2023-05-08,20586.599609,20627.800781,20544.199219,20585.199219,20585.199219,217315900
2023-05-09,20487.300781,20599.000000,20455.500000,20585.699219,20585.699219,187098600
2023-05-10,20644.300781,20644.300781,20399.500000,20499.300781,20499.300781,214002200
2023-05-11,20440.000000,20444.699219,20328.400391,20417.599609,20417.599609,219530400
2023-05-12,20448.599609,20492.099609,20346.900391,20419.599609,20419.599609,194640200
2023-05-15,20431.800781,20544.099609,20431.800781,20540.000000,20540.000000,235032100
2023-05-16,20452.199219,20452.199219,20236.800781,20242.099609,20242.099609,205406500
2023-05-17,20282.900391,20297.300781,20158.699219,20296.400391,20296.400391,193198200
2023-05-18,20262.800781,20302.900391,20171.000000,20297.099609,20297.099609,208292000
2023-05-19,20356.000000,20399.599609,20306.699219,20351.099609,20351.099609,174612100
2023-05-23,20312.500000,20327.500000,20138.599609,20146.000000,20146.000000,241493000
2023-05-24,20063.900391,20063.900391,19898.800781,19927.699219,19927.699219,207572600
2023-05-25,19879.199219,19879.199219,19717.400391,19774.099609,19774.099609,178511300
2023-05-26,19840.400391,19944.099609,19832.800781,19920.300781,19920.300781,186378200
2023-05-29,19929.000000,19991.900391,19929.000000,19968.000000,19968.000000,53333800
2023-05-30,19919.099609,19936.500000,19708.400391,19739.699219,19739.699219,176191200
2023-05-31,19674.699219,19674.699219,19522.599609,19572.199219,19572.199219,383419700
2023-06-01,19573.000000,19735.199219,19542.599609,19672.300781,19672.300781,199567300
2023-06-02,19783.199219,20032.099609,19783.199219,20024.599609,20024.599609,232220500
2023-06-05,20045.900391,20068.300781,19926.099609,19931.599609,19931.599609,217525700
2023-06-06,19925.900391,20059.500000,19911.599609,20055.599609,20055.599609,197427000
2023-06-07,20068.699219,20150.000000,19955.599609,19983.699219,19983.699219,200207800
2023-06-08,19994.800781,19996.300781,19855.300781,19942.699219,19942.699219,185562900
2023-06-09,19940.000000,19976.099609,19857.400391,19892.099609,19892.099609,162962100
2023-06-12,19862.599609,19933.599609,19805.900391,19921.300781,19921.300781,212148400
2023-06-13,19998.300781,20099.199219,19975.900391,19990.400391,19990.400391,205098400
2023-06-14,20027.800781,20098.500000,19930.300781,20015.099609,20015.099609,212250000
2023-06-15,19986.099609,20057.400391,19952.199219,20027.400391,20027.400391,199331900
2023-06-16,20057.300781,20112.400391,19973.199219,19975.400391,19975.400391,499628700
2023-06-19,19983.699219,19985.199219,19917.599609,19934.199219,19934.199219,51027700
2023-06-20,19881.900391,19881.900391,19739.800781,19754.099609,19754.099609,234693800
2023-06-21,19718.599609,19761.699219,19656.099609,19706.000000,19706.000000,222469800
2023-06-22,19638.500000,19638.500000,19545.599609,19580.900391,19580.900391,213520500
2023-06-23,19511.400391,19511.400391,19406.500000,19418.199219,19418.199219,205268400
2023-06-26,19400.699219,19630.500000,19400.699219,19587.300781,19587.300781,207613200
2023-06-27,19606.699219,19757.400391,19579.099609,19733.099609,19733.099609,177727100
2023-06-28,19749.400391,19818.900391,19706.500000,19818.900391,19818.900391,180146900
2023-06-29,19820.300781,19914.500000,19790.400391,19913.199219,19913.199219,173336900
2023-06-30,19973.400391,20178.800781,19973.400391,20155.300781,20155.300781,220958700
2023-07-04,20180.300781,20227.699219,20176.599609,20204.900391,20204.900391,71685700
2023-07-05,20177.800781,20177.800781,20086.199219,20103.900391,20103.900391,190949600
2023-07-06,20006.099609,20006.099609,19757.599609,19810.699219,19810.699219,215164300
2023-07-07,19740.800781,19911.300781,19719.599609,19831.000000,19831.000000,203482400
2023-07-10,19820.699219,19863.300781,19798.800781,19822.500000,19822.500000,186459900
2023-07-11,19857.599609,19882.500000,19820.699219,19878.599609,19878.599609,190110200
2023-07-12,19957.300781,20092.699219,19938.099609,20070.800781,20070.800781,221857300
2023-07-13,20119.800781,20294.300781,20119.800781,20277.599609,20277.599609,206193800
2023-07-14,20311.000000,20336.599609,20234.199219,20262.099609,20262.099609,196626900
